Label (Grouping),Alabama!!Total!!Estimate,Alabama!!Total!!Margin of Error,Alabama!!Median income (dollars)!!Estimate,Alabama!!Median income (dollars)!!Margin of Error,Alaska!!Total!!Estimate,Alaska!!Total!!Margin of Error,Alaska!!Median income (dollars)!!Estimate,Alaska!!Median income (dollars)!!Margin of Error,Arizona!!Total!!Estimate,Arizona!!Total!!Margin of Error,Arizona!!Median income (dollars)!!Estimate,Arizona!!Median income (dollars)!!Margin of Error,Arkansas!!Total!!Estimate,Arkansas!!Total!!Margin of Error,Arkansas!!Median income (dollars)!!Estimate,Arkansas!!Median income (dollars)!!Margin of Error,California!!Total!!Estimate,California!!Total!!Margin of Error,California!!Median income (dollars)!!Estimate,California!!Median income (dollars)!!Margin of Error,Colorado!!Total!!Estimate,Colorado!!Total!!Margin of Error,Colorado!!Median income (dollars)!!Estimate,Colorado!!Median income (dollars)!!Margin of Error,Connecticut!!Total!!Estimate,Connecticut!!Total!!Margin of Error,Connecticut!!Median income (dollars)!!Estimate,Connecticut!!Median income (dollars)!!Margin of Error,Delaware!!Total!!Estimate,Delaware!!Total!!Margin of Error,Delaware!!Median income (dollars)!!Estimate,Delaware!!Median income (dollars)!!Margin of Error,District of Columbia!!Total!!Estimate,District of Columbia!!Total!!Margin of Error,District of Columbia!!Median income (dollars)!!Estimate,District of Columbia!!Median income (dollars)!!Margin of Error,Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Median income (dollars)!!Estimate,Florida!!Median income (dollars)!!Margin of Error,Georgia!!Total!!Estimate,Georgia!!Total!!Margin of Error,Georgia!!Median income (dollars)!!Estimate,Georgia!!Median income (dollars)!!Margin of Error,Hawaii!!Total!!Estimate,Hawaii!!Total!!Margin of Error,Hawaii!!Median income (dollars)!!Estimate,Hawaii!!Median income (dollars)!!Margin of Error,Idaho!!Total!!Estimate,Idaho!!Total!!Margin of Error,Idaho!!Median income (dollars)!!Estimate,Idaho!!Median income (dollars)!!Margin of Error,Illinois!!Total!!Estimate,Illinois!!Total!!Margin of Error,Illinois!!Median income (dollars)!!Estimate,Illinois!!Median income (dollars)!!Margin of Error,Indiana!!Total!!Estimate,Indiana!!Total!!Margin of Error,Indiana!!Median income (dollars)!!Estimate,Indiana!!Median income (dollars)!!Margin of Error,Iowa!!Total!!Estimate,Iowa!!Total!!Margin of Error,Iowa!!Median income (dollars)!!Estimate,Iowa!!Median income (dollars)!!Margin of Error,Kansas!!Total!!Estimate,Kansas!!Total!!Margin of Error,Kansas!!Median income (dollars)!!Estimate,Kansas!!Median income (dollars)!!Margin of Error,Kentucky!!Total!!Estimate,Kentucky!!Total!!Margin of Error,Kentucky!!Median income (dollars)!!Estimate,Kentucky!!Median income (dollars)!!Margin of Error,Louisiana!!Total!!Estimate,Louisiana!!Total!!Margin of Error,Louisiana!!Median income (dollars)!!Estimate,Louisiana!!Median income (dollars)!!Margin of Error,Maine!!Total!!Estimate,Maine!!Total!!Margin of Error,Maine!!Median income (dollars)!!Estimate,Maine!!Median income (dollars)!!Margin of Error,Maryland!!Total!!Estimate,Maryland!!Total!!Margin of Error,Maryland!!Median income (dollars)!!Estimate,Maryland!!Median income (dollars)!!Margin of Error,Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Median income (dollars)!!Estimate,Massachusetts!!Median income (dollars)!!Margin of Error,Michigan!!Total!!Estimate,Michigan!!Total!!Margin of Error,Michigan!!Median income (dollars)!!Estimate,Michigan!!Median income (dollars)!!Margin of Error,Minnesota!!Total!!Estimate,Minnesota!!Total!!Margin of Error,Minnesota!!Median income (dollars)!!Estimate,Minnesota!!Median income (dollars)!!Margin of Error,Mississippi!!Total!!Estimate,Mississippi!!Total!!Margin of Error,Mississippi!!Median income (dollars)!!Estimate,Mississippi!!Median income (dollars)!!Margin of Error,Missouri!!Total!!Estimate,Missouri!!Total!!Margin of Error,Missouri!!Median income (dollars)!!Estimate,Missouri!!Median income (dollars)!!Margin of Error,Montana!!Total!!Estimate,Montana!!Total!!Margin of Error,Montana!!Median income (dollars)!!Estimate,Montana!!Median income (dollars)!!Margin of Error,Nebraska!!Total!!Estimate,Nebraska!!Total!!Margin of Error,Nebraska!!Median income (dollars)!!Estimate,Nebraska!!Median income (dollars)!!Margin of Error,Nevada!!Total!!Estimate,Nevada!!Total!!Margin of Error,Nevada!!Median income (dollars)!!Estimate,Nevada!!Median income (dollars)!!Margin of Error,New Hampshire!!Total!!Estimate,New Hampshire!!Total!!Margin of Error,New Hampshire!!Median income (dollars)!!Estimate,New Hampshire!!Median income (dollars)!!Margin of Error,New Jersey!!Total!!Estimate,New Jersey!!Total!!Margin of Error,New Jersey!!Median income (dollars)!!Estimate,New Jersey!!Median income (dollars)!!Margin of Error,New Mexico!!Total!!Estimate,New Mexico!!Total!!Margin of Error,New Mexico!!Median income (dollars)!!Estimate,New Mexico!!Median income (dollars)!!Margin of Error,New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Median income (dollars)!!Estimate,New York!!Median income (dollars)!!Margin of Error,North Carolina!!Total!!Estimate,North Carolina!!Total!!Margin of Error,North Carolina!!Median income (dollars)!!Estimate,North Carolina!!Median income (dollars)!!Margin of Error,North Dakota!!Total!!Estimate,North Dakota!!Total!!Margin of Error,North Dakota!!Median income (dollars)!!Estimate,North Dakota!!Median income (dollars)!!Margin of Error,Ohio!!Total!!Estimate,Ohio!!Total!!Margin of Error,Ohio!!Median income (dollars)!!Estimate,Ohio!!Median income (dollars)!!Margin of Error,Oklahoma!!Total!!Estimate,Oklahoma!!Total!!Margin of Error,Oklahoma!!Median income (dollars)!!Estimate,Oklahoma!!Median income (dollars)!!Margin of Error,Oregon!!Total!!Estimate,Oregon!!Total!!Margin of Error,Oregon!!Median income (dollars)!!Estimate,Oregon!!Median income (dollars)!!Margin of Error,Pennsylvania!!Total!!Estimate,Pennsylvania!!Total!!Margin of Error,Pennsylvania!!Median income (dollars)!!Estimate,Pennsylvania!!Median income (dollars)!!Margin of Error,Rhode Island!!Total!!Estimate,Rhode Island!!Total!!Margin of Error,Rhode Island!!Median income (dollars)!!Estimate,Rhode Island!!Median income (dollars)!!Margin of Error,South Carolina!!Total!!Estimate,South Carolina!!Total!!Margin of Error,South Carolina!!Median income (dollars)!!Estimate,South Carolina!!Median income (dollars)!!Margin of Error,South Dakota!!Total!!Estimate,South Dakota!!Total!!Margin of Error,South Dakota!!Median income (dollars)!!Estimate,South Dakota!!Median income (dollars)!!Margin of Error,Tennessee!!Total!!Estimate,Tennessee!!Total!!Margin of Error,Tennessee!!Median income (dollars)!!Estimate,Tennessee!!Median income (dollars)!!Margin of Error,Texas!!Total!!Estimate,Texas!!Total!!Margin of Error,Texas!!Median income (dollars)!!Estimate,Texas!!Median income (dollars)!!Margin of Error,Utah!!Total!!Estimate,Utah!!Total!!Margin of Error,Utah!!Median income (dollars)!!Estimate,Utah!!Median income (dollars)!!Margin of Error,Vermont!!Total!!Estimate,Vermont!!Total!!Margin of Error,Vermont!!Median income (dollars)!!Estimate,Vermont!!Median income (dollars)!!Margin of Error,Virginia!!Total!!Estimate,Virginia!!Total!!Margin of Error,Virginia!!Median income (dollars)!!Estimate,Virginia!!Median income (dollars)!!Margin of Error,Washington!!Total!!Estimate,Washington!!Total!!Margin of Error,Washington!!Median income (dollars)!!Estimate,Washington!!Median income (dollars)!!Margin of Error,West Virginia!!Total!!Estimate,West Virginia!!Total!!Margin of Error,West Virginia!!Median income (dollars)!!Estimate,West Virginia!!Median income (dollars)!!Margin of Error,Wisconsin!!Total!!Estimate,Wisconsin!!Total!!Margin of Error,Wisconsin!!Median income (dollars)!!Estimate,Wisconsin!!Median income (dollars)!!Margin of Error,Wyoming!!Total!!Estimate,Wyoming!!Total!!Margin of Error,Wyoming!!Median income (dollars)!!Estimate,Wyoming!!Median income (dollars)!!Margin of Error,Puerto Rico!!Total!!Estimate,Puerto Rico!!Total!!Margin of Error,Puerto Rico!!Median income (dollars)!!Estimate,Puerto Rico!!Median income (dollars)!!Margin of Error
HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households,"1,838,683","±5,863","43,253",±241,"251,899","±1,331","70,760",±732,"2,370,289","±8,769","49,774",±253,"1,129,723","±4,304","40,768",±330,"12,542,460","±20,542","61,094",±157,"1,977,591","±4,762","58,433",±314,"1,355,849","±3,506","69,461",±411,"335,707","±1,773","59,878",±714,"263,649","±1,588","65,830","±1,006","7,158,980","±25,790","46,956",±149,"3,518,097","±10,972","49,179",±208,"449,771","±1,783","67,402",±734,"579,797","±2,551","46,767",±413,"4,772,723","±11,056","56,797",±190,"2,481,793","±6,580","48,248",±198,"1,226,547","±3,433","51,843",±258,"1,110,440","±3,304","51,332",±304,"1,694,996","±5,311","43,036",±250,"1,707,852","±5,031","44,874",±251,"553,823","±2,219","48,453",±521,"2,146,240","±5,641","73,538",±404,"2,530,147","±5,224","66,866",±318,"3,823,280","±8,829","48,411",±163,"2,107,232","±5,485","59,836",±236,"1,088,073","±4,665","39,031",±319,"2,360,131","±6,252","47,380",±216,"405,525","±2,059","46,230",±453,"725,787","±2,583","51,672",±325,"999,016","±4,087","52,800",±389,"518,245","±2,172","64,916",±611,"3,186,418","±6,092","71,629",±303,"761,938","±3,017","44,927",±432,"7,234,743","±12,096","58,003",±204,"3,715,565","±9,398","46,334",±196,"287,270","±1,270","53,741",±572,"4,557,655","±12,660","48,308",±197,"1,444,081","±3,776","45,339",±196,"1,516,456","±4,721","50,229",±278,"4,958,427","±8,583","52,548",±165,"410,058","±1,761","56,361",±645,"1,780,251","±5,580","44,779",±250,"323,136","±1,682","49,495",±516,"2,475,195","±6,759","44,298",±222,"8,886,471","±18,279","51,900",±132,"886,770","±2,762","58,821",±388,"257,004","±1,218","54,267",±548,"3,022,739","±8,232","63,907",±248,"2,629,126","±5,804","59,478",±291,"741,390","±3,047","41,043",±338,"2,288,332","±6,551","52,413",±173,"222,846","±1,618","57,406",±841,"1,230,868","±3,660","19,624",±137
    One race--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        White,71.50%,±0.1,"49,606",±321,75.00%,±0.4,"77,087",±745,83.90%,±0.2,"51,520",±254,80.70%,±0.1,"43,983",±325,67.60%,±0.1,"63,894",±184,87.40%,±0.1,"60,820",±333,81.70%,±0.2,"75,255",±422,74.10%,±0.3,"64,068",±717,44.60%,±0.5,"108,051","±1,597",80.80%,±0.1,"49,641",±171,64.00%,±0.1,"56,342",±310,33.70%,±0.3,"66,899","±1,073",93.90%,±0.2,"47,421",±424,76.70%,±0.1,"61,637",±176,86.90%,±0.1,"50,731",±209,94.00%,±0.1,"52,883",±264,88.30%,±0.1,"53,026",±309,89.70%,±0.1,"44,450",±277,66.30%,±0.1,"54,362",±378,96.70%,±0.1,"48,908",±541,62.30%,±0.1,"81,849",±402,84.10%,±0.1,"70,965",±324,81.90%,±0.1,"51,782",±175,89.60%,±0.1,"62,075",±235,63.10%,±0.2,"48,431",±443,85.10%,±0.1,"50,141",±216,92.70%,±0.2,"47,506",±495,90.80%,±0.1,"53,509",±338,76.20%,±0.2,"55,033",±513,95.60%,±0.1,"65,177",±648,73.10%,±0.1,"76,933",±378,77.90%,±0.2,"47,616",±489,70.50%,±0.1,"64,593",±230,73.10%,±0.1,"51,680",±243,92.80%,±0.2,"55,537",±627,84.50%,±0.1,"51,590",±188,78.10%,±0.1,"48,483",±213,89.10%,±0.1,"51,126",±274,85.30%,±0.1,"55,538",±194,85.70%,±0.3,"60,642",±693,70.40%,±0.1,"51,868",±332,90.80%,±0.2,"51,683",±515,80.80%,±0.1,"47,183",±265,76.40%,±0.1,"55,126",±182,91.10%,±0.2,"60,438",±402,96.70%,±0.2,"54,665",±588,73.30%,±0.1,"68,977",±360,83.20%,±0.1,"61,020",±294,95.00%,±0.1,"41,511",±340,90.20%,±0.1,"54,643",±187,93.50%,±0.3,"58,652",±780,69.90%,±0.3,"20,037",±190
        Black or African American,25.20%,±0.1,"28,750",±493,3.50%,±0.2,"57,260","±4,779",4.00%,±0.1,"39,543","±1,430",14.70%,±0.1,"26,255",±506,6.50%,±0.1,"43,969",±421,3.70%,±0.1,"40,298","±1,214",9.40%,±0.1,"42,208","±1,161",19.60%,±0.3,"45,945","±1,300",46.90%,±0.4,"39,699","±1,010",13.60%,±0.1,"34,282",±314,29.80%,±0.1,"36,055",±260,2.00%,±0.1,"59,336","±3,430",0.50%,±0.1,"33,935","±5,737",13.80%,±0.1,"34,210",±378,8.70%,±0.1,"30,290",±534,2.50%,±0.1,"27,060",±995,5.60%,±0.1,"32,311",±947,7.60%,±0.1,"29,251",±647,29.80%,±0.1,"28,070",±408,0.70%,±0.1,"27,020","±3,452",28.90%,±0.1,"58,091",±498,6.10%,±0.1,"43,345",±834,13.40%,±0.1,"29,629",±353,4.40%,±0.1,"29,896",±998,34.50%,±0.2,"25,800",±392,11.00%,±0.1,"31,511",±459,0.30%,±0.1,"45,919","±15,852",4.30%,±0.1,"27,577","±1,190",8.20%,±0.1,"38,637","±1,226",1.00%,±0.1,"48,495","±4,781",13.20%,±0.1,"46,843",±606,2.00%,±0.1,"41,214","±3,533",14.60%,±0.1,"41,755",±344,20.90%,±0.1,"32,565",±301,1.10%,±0.1,"29,923","±3,758",12.00%,±0.1,"28,044",±389,7.00%,±0.1,"29,949",±758,1.60%,±0.1,"32,571","±2,675",9.90%,±0.1,"32,426",±351,5.40%,±0.2,"33,793","±2,132",26.20%,±0.1,"29,670",±386,1.10%,±0.1,"33,806","±3,182",15.60%,±0.1,"32,064",±354,12.20%,±0.1,"38,156",±386,0.90%,±0.1,"36,441","±3,963",0.70%,±0.1,"49,559","±10,188",18.60%,±0.1,"43,885",±419,3.50%,±0.1,"41,325","±1,086",2.90%,±0.1,"28,138","±2,085",5.40%,±0.1,"27,016",±517,0.80%,±0.1,"33,750","±6,080",8.50%,±0.1,"19,238",±563
        American Indian and Alaska Native,0.50%,±0.1,"37,207","±2,883",11.40%,±0.3,"44,964","±1,666",3.20%,±0.1,"31,601",±823,0.60%,±0.1,"40,821","±5,110",0.70%,±0.1,"44,498","±1,419",0.80%,±0.1,"38,858","±2,126",0.20%,±0.1,"51,786","±9,297",0.30%,±0.1,"37,169","±11,754",0.30%,±0.1,"64,750","±10,550",0.30%,±0.1,"39,477","±3,159",0.30%,±0.1,"40,434","±4,030",0.30%,±0.1,"49,250","±9,820",1.10%,±0.1,"36,672","±2,789",0.20%,±0.1,"44,171","±2,944",0.20%,±0.1,"35,875","±3,484",0.30%,±0.1,"30,765","±5,197",0.70%,±0.1,"37,699","±3,144",0.20%,±0.1,"35,665","±9,642",0.60%,±0.1,"41,802","±4,433",0.50%,±0.1,"29,403","±4,589",0.30%,±0.1,"57,028","±7,646",0.20%,±0.1,"35,718","±5,221",0.50%,±0.1,"35,774","±1,517",0.90%,±0.1,"31,710","±1,839",0.30%,±0.1,"38,430","±3,021",0.40%,±0.1,"35,249","±5,080",4.50%,±0.1,"29,586","±1,305",0.70%,±0.1,"28,432","±4,442",1.00%,±0.1,"41,801","±3,278",0.20%,±0.1,"47,931","±21,425",0.20%,±0.1,"39,288","±4,474",6.50%,±0.1,"32,136","±1,160",0.30%,±0.1,"36,176","±2,160",1.00%,±0.1,"30,356","±1,454",3.90%,±0.1,"29,518","±2,177",0.20%,±0.1,"34,952","±3,068",6.00%,±0.1,"37,906",±741,1.10%,±0.1,"36,395","±2,487",0.10%,±0.1,"32,864","±3,561",0.40%,±0.1,"28,750","±10,110",0.30%,±0.1,"33,625","±2,649",5.60%,±0.2,"24,498","±1,408",0.30%,±0.1,"35,864","±2,688",0.50%,±0.1,"45,161","±1,682",1.00%,±0.1,"31,927","±1,949",0.30%,±0.1,"36,641","±15,901",0.30%,±0.1,"52,748","±3,730",1.20%,±0.1,"41,693","±1,522",0.20%,±0.1,"27,568","±10,790",0.80%,±0.1,"35,919","±1,592",1.60%,±0.1,"41,436","±2,647",0.30%,±0.1,"18,082","±2,017"
        Asian,1.00%,±0.1,"57,096","±5,297",3.60%,±0.2,"66,374","±3,591",2.60%,±0.1,"65,288","±2,705",1.00%,±0.1,"53,518","±2,757",12.50%,±0.1,"76,806",±372,2.30%,±0.1,"65,155","±2,075",3.20%,±0.1,"86,929","±2,236",2.90%,±0.1,"88,152","±6,497",3.60%,±0.2,"80,065","±4,842",2.00%,±0.1,"60,269",±927,2.80%,±0.1,"63,460","±1,414",39.40%,±0.3,"72,696","±1,208",1.10%,±0.1,"50,220","±5,949",4.10%,±0.1,"75,533","±1,138",1.40%,±0.1,"52,927","±2,114",1.40%,±0.1,"59,560","±2,729",1.90%,±0.1,"60,179","±2,627",0.90%,±0.1,"61,476","±2,498",1.30%,±0.1,"51,773","±2,596",0.70%,±0.1,"51,677","±4,330",4.90%,±0.1,"91,826","±2,309",4.60%,±0.1,"75,996","±1,563",2.00%,±0.1,"73,269","±2,150",2.90%,±0.1,"64,716","±1,459",0.80%,±0.1,"50,162","±5,820",1.30%,±0.1,"61,613","±1,940",0.50%,±0.1,"47,015","±4,853",1.40%,±0.1,"50,867","±3,017",6.50%,±0.1,"60,827","±2,134",1.70%,±0.1,"74,858","±5,788",7.30%,±0.1,"102,575","±1,386",1.20%,±0.1,"57,457","±6,905",6.40%,±0.1,"62,106",±739,1.80%,±0.1,"65,157","±2,152",0.80%,±0.1,"38,198","±8,626",1.40%,±0.1,"69,030","±2,056",1.40%,±0.1,"53,461","±2,405",3.10%,±0.1,"61,608","±1,989",2.30%,±0.1,"64,397","±1,219",2.30%,±0.1,"53,422","±2,916",1.10%,±0.1,"57,298","±2,805",0.80%,±0.1,"47,690","±1,698",1.20%,±0.1,"65,226","±3,062",3.60%,±0.1,"71,259",±995,2.00%,±0.1,"55,396","±3,335",0.90%,±0.1,"48,350","±7,595",4.60%,±0.1,"92,480","±1,968",6.30%,±0.1,"70,991","±1,318",0.60%,±0.1,"54,670","±7,482",1.60%,±0.1,"55,000","±2,409",0.60%,±0.1,"38,053","±3,981",0.30%,±0.1,"15,637","±3,213"
        Native Hawaiian and Other Pacific Islander,0.00%,±0.1,"53,875","±36,367",0.70%,±0.1,"55,694","±9,403",0.10%,±0.1,"44,908","±4,536",0.10%,±0.1,"30,053","±12,605",0.30%,±0.1,"60,930","±2,956",0.10%,±0.1,"55,678","±7,076",0.00%,±0.1,"50,885","±17,420",0.00%,±0.1,"38,355","±28,472",0.00%,±0.1,"123,868","±43,397",0.00%,±0.1,"52,808","±5,992",0.00%,±0.1,"45,466","±16,895",7.60%,±0.2,"54,739","±2,456",0.10%,±0.1,"33,542","±19,095",0.00%,±0.1,"70,232","±9,677",0.00%,±0.1,"28,234","±4,979",0.00%,±0.1,"63,456","±26,817",0.10%,±0.1,"49,207","±16,830",0.00%,±0.1,"46,146","±7,107",0.00%,±0.1,"63,375","±18,781",0.00%,±0.1,"9,630","±61,609",0.00%,±0.1,"67,661","±24,819",0.00%,±0.1,"44,536","±12,500",0.00%,±0.1,"46,436","±8,001",0.00%,±0.1,"43,571","±14,753",0.00%,±0.1,"17,708","±31,776",0.10%,±0.1,"39,769","±6,149",0.00%,±0.1,"47,500","±27,148",0.10%,±0.1,"45,338","±18,426",0.50%,±0.1,"47,377","±3,139",0.00%,±0.1,"111,000","±23,925",0.00%,±0.1,"80,401","±22,173",0.10%,±0.1,"32,071","±12,977",0.00%,±0.1,"48,138","±12,328",0.00%,±0.1,"49,704","±11,600",0.00%,±0.1,"53,828","±46,038",0.00%,±0.1,"56,307","±21,625",0.10%,±0.1,"39,306","±7,984",0.30%,±0.1,"40,855","±3,881",0.00%,±0.1,"42,439","±7,350",0.00%,±0.1,"25,956","±17,397",0.00%,±0.1,"32,159","±6,026",0.00%,±0.1,"58,750","±36,379",0.00%,±0.1,"44,691","±8,169",0.10%,±0.1,"59,276","±5,203",0.60%,±0.1,"47,266","±4,892",0.00%,±0.1,-,**,0.10%,±0.1,"81,538","±10,118",0.40%,±0.1,"54,438","±3,807",0.00%,±0.1,"30,227","±10,023",0.00%,±0.1,"34,750","±16,709",0.00%,±0.1,"92,500","±130,347",0.00%,±0.1,-,**
        Some other race,0.70%,±0.1,"35,281","±2,669",1.00%,±0.1,"56,944","±7,984",4.60%,±0.1,"37,031",±886,1.40%,±0.1,"33,532","±1,735",9.40%,±0.1,"44,889",±283,3.50%,±0.1,"38,495","±1,243",4.00%,±0.1,"35,022","±1,234",1.70%,±0.2,"40,629","±4,183",2.50%,±0.3,"42,419","±5,138",1.80%,±0.1,"39,072","±1,101",2.00%,±0.1,"32,816",±886,1.00%,±0.1,"53,785","±5,411",1.70%,±0.1,"35,896","±3,294",4.00%,±0.1,"44,834",±742,1.60%,±0.1,"35,085","±1,449",0.90%,±0.1,"39,319","±2,498",1.70%,±0.1,"39,479","±1,741",0.60%,±0.1,"34,135","±2,159",0.80%,±0.1,"39,488","±1,880",0.10%,±0.1,"41,458","±26,863",2.10%,±0.1,"57,316","±1,537",3.30%,±0.1,"32,119","±1,027",0.80%,±0.1,"36,345","±1,475",0.90%,±0.1,"39,688","±2,350",0.60%,±0.1,"31,597","±3,468",0.70%,±0.1,"32,078","±1,658",0.40%,±0.1,"33,980","±3,832",1.50%,±0.1,"39,329","±2,211",5.10%,±0.1,"43,145","±1,331",0.50%,±0.1,"43,654","±16,622",4.60%,±0.1,"45,927",±873,10.30%,±0.2,"35,772","±1,151",6.40%,±0.1,"36,751",±537,1.90%,±0.1,"31,877",±813,0.40%,±0.1,"49,712","±10,676",0.60%,±0.1,"35,698","±1,685",1.80%,±0.1,"37,035","±1,093",2.40%,±0.1,"37,148","±1,440",1.40%,±0.1,"29,716",±938,4.60%,±0.2,"32,574","±1,976",1.00%,±0.1,"34,330","±2,165",0.60%,±0.1,"33,205","±5,575",1.00%,±0.1,"32,179","±1,828",5.50%,±0.1,"37,629",±433,3.10%,±0.1,"40,705","±1,499",0.20%,±0.1,"59,063","±9,294",1.50%,±0.1,"54,527","±2,219",2.50%,±0.1,"38,659","±1,108",0.10%,±0.1,"46,071","±19,702",1.00%,±0.1,"35,004","±2,065",1.70%,±0.2,"43,779","±6,159",9.70%,±0.2,"18,006",±460
    Two or more races,1.00%,±0.1,"34,459","±1,924",4.80%,±0.3,"51,907","±3,224",1.70%,±0.1,"45,857","±1,753",1.40%,±0.1,"33,194","±2,144",2.90%,±0.1,"58,020",±929,2.10%,±0.1,"46,085","±1,729",1.50%,±0.1,"50,923","±2,184",1.40%,±0.1,"46,050","±4,763",2.10%,±0.2,"70,772","±10,642",1.40%,±0.1,"42,550","±1,008",1.20%,±0.1,"47,272","±1,971",15.90%,±0.3,"64,170","±1,756",1.60%,±0.1,"36,445","±4,164",1.20%,±0.1,"49,194","±1,862",1.10%,±0.1,"39,327","±1,823",0.90%,±0.1,"35,655","±3,886",1.70%,±0.1,"41,108","±2,192",1.00%,±0.1,"31,972","±2,536",1.10%,±0.1,"36,747","±2,339",1.10%,±0.1,"35,476","±4,646",1.60%,±0.1,"68,225","±2,320",1.80%,±0.1,"47,673","±3,005",1.40%,±0.1,"35,716","±1,371",1.20%,±0.1,"42,394","±2,513",0.70%,±0.1,"34,676","±3,578",1.30%,±0.1,"36,864","±1,772",1.60%,±0.1,"33,856","±2,947",1.20%,±0.1,"36,839","±2,668",2.50%,±0.1,"50,039","±2,155",1.10%,±0.1,"50,719","±4,834",1.60%,±0.1,"58,692","±2,202",2.10%,±0.1,"42,323","±2,119",1.80%,±0.1,"47,236","±1,097",1.20%,±0.1,"37,649","±1,372",1.00%,±0.1,"36,890","±6,333",1.20%,±0.1,"34,465","±1,423",5.50%,±0.1,"38,415",±909,2.50%,±0.1,"43,112","±1,870",1.00%,±0.1,"38,443","±1,171",1.50%,±0.1,"37,589","±3,299",0.90%,±0.1,"37,194","±2,583",1.20%,±0.1,"35,340","±4,467",1.10%,±0.1,"33,314","±1,898",1.60%,±0.1,"47,321","±1,157",1.30%,±0.1,"48,056","±3,052",1.20%,±0.1,"41,056","±4,934",1.60%,±0.1,"62,493","±2,115",2.90%,±0.1,"51,758","±1,475",1.20%,±0.1,"31,498","±1,490",1.00%,±0.1,"40,850","±1,874",1.70%,±0.2,"47,463","±3,851",11.30%,±0.2,"19,021",±526
